role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
pharmacy tech,Pharmacy Technician,Pharmacy Technician,Pharmacy Technician,Pharmacy Technician,Cashier,Sales,29-2052.00,Pharmacy Technicians
pharmacy technician,Pharmacy Technician,Pharmacy Technician,Pharmacy Technician,Pharmacy Technician,Cashier,Sales,29-2052.00,Pharmacy Technicians
phlebotomist,Phlebotomist,Phlebotomist,Phlebotomist,Medical Rep,Medical Rep,Scientist,31-9097.00,Phlebotomists
phone banker,Phone Banker,Retention Specialist,Call Center Operator,Customer Service,Customer Service,Sales,43-3071.00,Tellers
photo,Photo Specialist,Photo Specialist,Photographer,Producer,Producer,Marketing,51-9151.00,Photographic Process Workers and Processing Machine Operators
photographer,Photographer,Photographer,Photographer,Producer,Producer,Marketing,27-4021.00,Photographers
physical design engineer,Physical Design Engineer,Physical Design Engineer,RF Engineer,Test Engineer,Application Engineer,Engineer,17-2072.01,Radio Frequency Identification Device Specialists
physical therapist,Physical Therapist,Clinical Specialist,Clinical Specialist,Case Manager,Medical Rep,Scientist,29-1123.00,Physical Therapists
physician,Medical Rep,Medical Rep,Medical Rep,Medical Rep,Medical Rep,Scientist,29-1071.00,Physician Assistants
picker,Packer,Warehouse Worker,Warehouse Worker,Driver,Distribution Specialist,Operations,53-7064.00,"Packers and Packagers, Hand"
pilot,Pilot,Pilot,Pilot,Pilot,Receptionist,Sales,53-2012.00,Commercial Pilots
pipefitter,Welder,Welder,Welder,Foreman,Machine Operator,Engineer,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
piping designer,Piping Designer,Piping Designer,QA/QC,Structural Engineer,Mechanical Engineer,Engineer,17-3012.00,Electrical and Electronics Drafters
piping engineer,Piping Designer,Piping Designer,QA/QC,Structural Engineer,Mechanical Engineer,Engineer,17-2141.00,Mechanical Engineers
placement,Placement Specialist,Placement Specialist,Student Intern,Student Intern,Coordinator,Admin,43-4111.00,"Interviewers, Except Eligibility and Loan"
planner,Planner,Planning Manager,Planning Manager,Planning Manager,Technical Architect,Engineer,19-3051.00,Urban and Regional Planners
planner buyer,Planner Buyer,Buyer/Planner,Supply Chain Specialist,Logistics,Logistics,Operations,11-3071.04,Supply Chain Managers
planning,Planning Manager,Planning Manager,Planning Manager,Planning Manager,Technical Architect,Engineer,19-3051.00,Urban and Regional Planners
planning analyst,Planning Analyst,Planning Analyst,Operations Analyst,Business Operations,Business Operations,Operations,13-1081.02,Logistics Analysts
planning engineer,Planning Engineer,Planning Engineer,Planning Engineer,Planning Manager,Technical Architect,Engineer,17-2051.00,Civil Engineers
plant,Plant Operator,Plant Operator,Manufacturing Associate,Manufacturing Associate,Production Operator,Engineer,11-3051.02,Geothermal Production Managers
plant controller,Cost Accountant,Cost Accountant,Financial Controller,Financial Controller,Accountant,Finance,11-3031.01,Treasurers and Controllers
plant engineer,Maintenance Engineer,Maintenance Engineer,Maintenance Specialist,Process Engineer,Mechanical Engineer,Engineer,51-8013.00,Power Plant Operators
pm,PM,Operations Project Manager,Operations Project Manager,Delivery Manager,Delivery Manager,Engineer,11-9041.00,Architectural and Engineering Managers
pmo,PMO,PMO,PMO,Transformation Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
pmo analyst,PMO Analyst,PMO,PMO,Transformation Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
portfolio,Portfolio Manager,Investment Specialist,Investment Specialist,Investment Specialist,Investment Specialist,Finance,11-3031.03,Investment Fund Managers
portfolio analyst,Portfolio Analyst,Risk Analyst,Risk Analyst,Risk Analyst,Investment Specialist,Finance,11-3031.03,Investment Fund Managers
postman,Postman,Postman,Cashier,Cashier,Cashier,Sales,53-3054.00,Taxi Drivers
pr,PR Specialist,Public Relations,Public Relations,Public Relations,Communications Specialist,Marketing,11-2032.00,Public Relations Managers
premier relationship,Banker,Banker,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
presales,Presales Consultant,Presales Consultant,Technical Account Manager,Solutions Specialist,Solutions Specialist,Sales,41-9031.00,Sales Engineers
presales consultant,Presales Consultant,Presales Consultant,Technical Account Manager,Solutions Specialist,Solutions Specialist,Sales,41-9031.00,Sales Engineers
press,Press Operator,Public Affairs,Communications Specialist,Communications Specialist,Communications Specialist,Marketing,27-3041.00,Editors
pricing,Pricing Specialist,Pricing Specialist,Pricing Specialist,Business Operations,Business Operations,Operations,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
pricing analyst,Pricing Specialist,Pricing Specialist,Pricing Specialist,Business Operations,Business Operations,Operations,13-2051.00,Financial and Investment Analysts
problem,Problem Solver,Problem Solver,Problem Solver,Application Support,IT Specialist,Engineer,15-1299.06,Digital Forensics Analysts
process,Process Associate,Process Associate,Process Associate,Business Process Specialist,Delivery Manager,Engineer,51-9011.00,Chemical Equipment Operators and Tenders
process analyst,Process Analyst,Business Process Specialist,Business Process Specialist,Business Process Specialist,Delivery Manager,Engineer,15-1299.06,Digital Forensics Analysts
process consultant,Business Process Consultant,Business Process Specialist,Business Process Specialist,Business Process Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
process control engineer,Process Control Engineer,Process Engineer,Process Engineer,Process Engineer,Mechanical Engineer,Engineer,17-2031.00,Bioengineers and Biomedical Engineers
process developer,Process Developer,Process Developer,Back Office,Billing Specialist,Billing Specialist,Finance,13-2051.00,Financial and Investment Analysts
process development,Process Development Manager,Process Development Manager,Process Development Manager,Quality Engineer,Production Operator,Engineer,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
process development engineer,Process Development Manager,Process Development Manager,Process Development Manager,Quality Engineer,Production Operator,Engineer,17-2031.00,Bioengineers and Biomedical Engineers
process engineer,Process Engineer,Process Engineer,Process Engineer,Process Engineer,Mechanical Engineer,Engineer,17-2031.00,Bioengineers and Biomedical Engineers
process engineering,Process Engineer,Process Engineer,Process Engineer,Process Engineer,Mechanical Engineer,Engineer,17-2031.00,Bioengineers and Biomedical Engineers
process technician,Production Technician,Production Technician,Production Technician,Production Operator,Production Operator,Engineer,51-8099.01,Biofuels Processing Technicians
processing,Processing Specialist,Processing Specialist,Processing Specialist,Collections Specialist,Claims Specialist,Finance,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
processor,Processor,Processing Specialist,Processing Specialist,Collections Specialist,Claims Specialist,Finance,23-2093.00,"Title Examiners, Abstractors, and Searchers"
procurement,Procurement Specialist,Procurement Specialist,Procurement Specialist,Procurement Specialist,Logistics,Operations,11-3061.00,Purchasing Managers
procurement agent,Procurement Agent,Procurement Analyst,Buyer,Procurement Specialist,Logistics,Operations,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
procurement analyst,Procurement Analyst,Procurement Analyst,Buyer,Procurement Specialist,Logistics,Operations,13-1081.02,Logistics Analysts
procurement officer,Procurement Officer,Procurement Specialist,Procurement Specialist,Procurement Specialist,Logistics,Operations,43-3061.00,Procurement Clerks
produce,Produce Associate,Produce Associate,Stocker,Cashier,Cashier,Sales,51-3021.00,Butchers and Meat Cutters
producer,Producer,Producer,Producer,Producer,Producer,Marketing,27-2012.00,Producers and Directors
product,Product Manager,Product Manager,Product Manager,Product Manager,Product Manager,Sales,11-2021.00,Marketing Managers
product analyst,Product Analyst,Product Analyst,Business Analyst,Business Analyst,Data Analyst,Engineer,13-1111.00,Management Analysts
product consultant,Product Consultant,Product Analyst,Business Analyst,Business Analyst,Data Analyst,Engineer,13-1111.00,Management Analysts
product design,Product Designer,Designer,Designer,Designer,Designer,Marketing,27-1021.00,Commercial and Industrial Designers
product design engineer,Product Engineer,Product Engineer,Application Engineer,Application Engineer,Application Engineer,Engineer,17-3013.00,Mechanical Drafters
product designer,Product Designer,Designer,Designer,Designer,Designer,Marketing,27-1021.00,Commercial and Industrial Designers
product developer,Product Development,Product Development,Product Development,Application Engineer,Application Engineer,Engineer,27-1021.00,Commercial and Industrial Designers
product development,Product Development,Product Development,Product Development,Application Engineer,Application Engineer,Engineer,27-1021.00,Commercial and Industrial Designers
product development engineer,Product Engineer,Product Engineer,Application Engineer,Application Engineer,Application Engineer,Engineer,17-2131.00,Materials Engineers
product engineer,Product Engineer,Product Engineer,Application Engineer,Application Engineer,Application Engineer,Engineer,17-2112.03,Manufacturing Engineers
product engineering,Product Engineer,Product Engineer,Application Engineer,Application Engineer,Application Engineer,Engineer,17-2112.03,Manufacturing Engineers
product marketing,Product Marketing,Product Marketing,Product Manager,Product Manager,Product Manager,Sales,11-2021.00,Marketing Managers
product sales,Product Sales Specialist,Key Account Manager,Key Account Manager,Sales Associate,Sales Associate,Sales,11-2022.00,Sales Managers
product support,Product Support,Product Support,Technical Support Engineer,Technical Support Engineer,Technician,Engineer,15-1232.00,Computer User Support Specialists
product support engineer,Product Support,Product Support,Technical Support Engineer,Technical Support Engineer,Technician,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
production,Production Operator,Production Operator,Production Operator,Production Operator,Production Operator,Engineer,51-1011.00,First-Line Supervisors of Production and Operating Workers
production artist,Graphic Artist,Creative Services,Graphic Designer,Graphic Designer,Designer,Marketing,51-5111.00,Prepress Technicians and Workers
production control,Production Control Manager,Production Control Manager,Materials Specialist,Logistics,Logistics,Operations,13-1081.01,Logistics Engineers
production coordinator,Production Operator,Production Operator,Production Operator,Production Operator,Production Operator,Engineer,43-5061.00,"Production, Planning, and Expediting Clerks"
production engineer,Production Engineer,Process Engineer,Process Engineer,Process Engineer,Mechanical Engineer,Engineer,17-2031.00,Bioengineers and Biomedical Engineers
production engineering,Production Engineer,Process Engineer,Process Engineer,Process Engineer,Mechanical Engineer,Engineer,17-2112.00,Industrial Engineers
production planning,Production Planning,Production Control Manager,Materials Specialist,Logistics,Logistics,Operations,13-1081.01,Logistics Engineers
production scheduler,Production Control Manager,Production Control Manager,Materials Specialist,Logistics,Logistics,Operations,13-1081.01,Logistics Engineers
production support,Production Support,Production Support,Application Support,Application Support,IT Specialist,Engineer,15-1299.06,Digital Forensics Analysts
production technician,Production Technician,Production Technician,Production Technician,Production Operator,Production Operator,Engineer,51-8099.01,Biofuels Processing Technicians
products,Products Specialist,Product Manager,Product Manager,Product Manager,Product Manager,Sales,11-2021.00,Marketing Managers
professor,Professor,Professor,Corporate Trainer,Corporate Trainer,Coordinator,Admin,25-1123.00,"English Language and Literature Teachers, Postsecondary"
programme,Programme Manager,Project Officer,Project Officer,Project Administrator,Project Manager,Operations,13-1199.04,Business Continuity Planners
programmer,Programmer,Software Developer,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
programmer analyst,Programmer Analyst,Programmer Analyst,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
programming,Programming Specialist,Producer,Producer,Producer,Producer,Marketing,27-2012.03,Media Programming Directors
programming analyst,Programmer Analyst,Programmer Analyst,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
project,Project Manager,Project Manager,Project Manager,Project Manager,Project Manager,Operations,11-9041.00,Architectural and Engineering Managers
